timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-05-16 14:16:17,0.00,11,100.00,17,healthy
2025-05-16 14:16:23,0.00,11,100.00,13,healthy
2025-05-16 14:16:28,0.00,11,100.00,5,unhealthy
2025-05-16 14:16:34,0.00,11,100.00,14,unhealthy
2025-05-16 14:16:40,0.00,11,100.00,12,unhealthy
2025-05-16 14:16:46,0.00,11,100.00,15,unhealthy
2025-05-16 14:16:53,26.22,48.04,4.69,2253,healthy
2025-05-16 14:18:29,0.00,11,100.00,18,healthy
2025-05-16 14:18:34,0.00,11,100.00,8,healthy
2025-05-16 14:18:40,0.00,11,100.00,4,unhealthy
2025-05-16 14:18:45,0.00,11,100.00,13,unhealthy
2025-05-16 14:18:51,0.00,11,100.00,15,unhealthy
2025-05-16 14:18:57,0.00,11,100.00,14,unhealthy
2025-05-16 14:19:05,82.50,566.7,55.34,2858,healthy
2025-05-16 14:19:08,0.00,11,100.00,14,unhealthy
2025-05-16 14:19:11,0.00,11,100.00,13,unhealthy
2025-05-16 14:19:17,0.00,11,100.00,15,unhealthy
2025-05-16 14:19:20,0.00,11,100.00,10,unhealthy
2025-05-16 14:19:24,0.00,11,100.00,13,unhealthy
2025-05-16 14:19:27,0.00,11,100.00,9,unhealthy
2025-05-16 14:19:32,0.02,30.65,2.99,14,healthy
2025-05-16 14:19:38,0.03,30.82,3.01,17,healthy
2025-05-16 14:19:44,0.24,30.87,3.01,14,healthy
2025-05-16 14:19:50,0.03,30.88,3.02,15,healthy
2025-05-16 14:19:56,5.67,31.06,3.03,18,healthy
2025-05-16 14:20:02,0.02,33.4,3.26,15,healthy
2025-05-16 14:20:08,0.03,33.4,3.26,15,healthy
2025-05-16 14:20:14,0.26,33.41,3.26,17,healthy
2025-05-16 14:20:20,0.23,33.42,3.26,16,healthy
2025-05-16 14:20:26,33.13,165.1,16.12,45,healthy
2025-05-16 14:20:32,0.03,30.74,3.00,17,healthy
2025-05-16 14:20:38,0.03,30.82,3.01,17,healthy
2025-05-16 14:20:44,99.54,1022,99.80,6,healthy
2025-05-16 14:20:50,6.15,31.76,3.10,18,healthy
2025-05-16 14:20:56,60.04,363.5,35.50,19,healthy
2025-05-16 14:21:02,0.03,30.73,3.00,12,healthy
2025-05-16 14:21:08,0.03,30.82,3.01,15,healthy
2025-05-16 14:21:14,101.16,1024,100.00,213,healthy
2025-05-16 14:21:20,0.24,30.78,3.01,15,healthy
2025-05-16 14:21:26,82.65,459.2,44.84,27,healthy
2025-05-16 14:21:32,0.03,31.64,3.09,14,healthy
2025-05-16 14:21:38,0.02,33.48,3.27,19,healthy
2025-05-16 14:21:44,99.18,1024,100.00,89,healthy
2025-05-16 14:21:50,0.30,30.78,3.01,15,healthy
2025-05-16 14:21:56,6.57,42.7,4.17,53,healthy
2025-05-16 14:22:02,0.00,30.5,2.98,13,healthy
2025-05-16 14:22:08,0.03,30.66,2.99,13,healthy
2025-05-16 14:22:14,103.46,379.3,37.04,73,healthy
2025-05-16 14:22:20,106.29,1024,100.00,65,healthy
2025-05-16 14:22:27,11.53,1023,99.90,37,healthy
2025-05-16 14:22:34,0.21,30.46,2.97,51,healthy
2025-05-16 14:22:40,0.03,32.59,3.18,19,healthy
2025-05-16 14:22:46,104.62,668.4,65.27,249,healthy
2025-05-16 14:22:53,106.13,1024,100.00,223,healthy
2025-05-16 14:23:00,107.87,1024,100.00,314,healthy
2025-05-16 14:23:06,0.06,30.27,2.96,22,healthy
2025-05-16 14:23:11,0.02,32.31,3.16,23,healthy
2025-05-16 14:23:18,104.60,822.3,80.30,215,healthy
2025-05-16 14:23:25,103.78,1024,100.00,317,healthy
2025-05-16 14:23:31,104.71,1023,99.90,91,healthy
2025-05-16 14:23:36,0.04,30.27,2.96,17,healthy
2025-05-16 14:23:42,0.40,32.3,3.15,26,healthy
2025-05-16 14:23:48,105.04,624.4,60.98,182,healthy
2025-05-16 14:23:55,98.04,1023,99.90,852,healthy
2025-05-16 14:24:01,5.00,1022,99.80,39,healthy
2025-05-16 14:24:07,0.02,1021,99.71,21,healthy
